HGNC,ENTREZ_ID,OMIM_ID,ENSEMBL_ID,ENSP,ASD
TTYH3,80727,608919,ENSG00000136295,ENSP00000258796,0
NKX2-8,26257,603245,ENSG00000136327,ENSP00000258829,0
ACSBG1,23205,614362,ENSG00000103740,ENSP00000258873,0
MTHFS,10588,604197,ENSG00000136371,ENSP00000258874,0
ABHD17C,58489,617944,ENSG00000136379,ENSP00000258884,0
IREB2,3658,147582,ENSG00000136381,ENSP00000258886,0
ALPK3,57538,617608,ENSG00000136383,ENSP00000258888,0
CIB2,10518,605564,ENSG00000136425,ENSP00000258930,1
SRSF1,6426,600812,ENSG00000136450,ENSP00000258962,0
TACO1,51204,612958,ENSG00000136463,ENSP00000258975,0
BRIP1,83990,605882,ENSG00000136492,ENSP00000259008,0
KAT7,11143,609880,ENSG00000136504,ENSP00000259021,0
RTP4,64108,609350,ENSG00000136514,ENSP00000259030,0
NDUFB5,4711,603841,ENSG00000136521,ENSP00000259037,0
MARCH7,64844,613334,ENSG00000136536,ENSP00000259050,0
